Model,Attribute,V_DI,V_SPD,V_EOPP,V_EOD,V_TI,V_PP,V_CAL,N_Fair,N_Unfair
Logistic Regression,RACE,0,0,0,0,1,1,0,2,5
Logistic Regression,SEX,0,0,1,0,1,1,0,3,4
Logistic Regression,ETHNICITY,0,0,1,1,1,1,0,4,3
Logistic Regression,AGE_GROUP,0,0,0,0,1,1,0,2,5
Random Forest,RACE,0,0,1,1,1,1,0,4,3
Random Forest,SEX,0,0,1,1,1,1,1,5,2
Random Forest,ETHNICITY,1,1,1,1,1,1,1,7,0
Random Forest,AGE_GROUP,0,0,0,0,1,1,0,2,5
HistGradientBoosting,RACE,0,0,1,1,1,1,0,4,3
HistGradientBoosting,SEX,0,0,1,1,1,1,1,5,2
HistGradientBoosting,ETHNICITY,1,1,1,1,1,1,1,7,0
HistGradientBoosting,AGE_GROUP,0,0,0,0,1,1,0,2,5
XGBoost,RACE,0,0,1,1,1,1,0,4,3
XGBoost,SEX,0,0,1,1,1,1,1,5,2
XGBoost,ETHNICITY,1,1,1,1,1,1,1,7,0
XGBoost,AGE_GROUP,0,0,0,0,1,1,1,3,4
LightGBM,RACE,0,0,1,1,1,0,0,3,4
LightGBM,SEX,0,0,1,1,1,1,1,5,2
LightGBM,ETHNICITY,1,1,1,1,1,1,1,7,0
LightGBM,AGE_GROUP,0,0,0,0,1,1,0,2,5
AdaBoost,RACE,0,0,0,0,1,0,0,1,6
AdaBoost,SEX,0,0,1,1,1,1,0,4,3
AdaBoost,ETHNICITY,0,1,1,1,1,1,0,5,2
AdaBoost,AGE_GROUP,0,0,0,0,1,1,0,2,5
GradientBoosting,RACE,0,0,1,1,1,1,0,4,3
GradientBoosting,SEX,0,0,1,1,1,1,1,5,2
GradientBoosting,ETHNICITY,1,1,1,1,1,1,1,7,0
GradientBoosting,AGE_GROUP,0,0,0,0,1,1,0,2,5
DecisionTree,RACE,0,0,1,1,1,1,0,4,3
DecisionTree,SEX,0,0,1,1,1,1,1,5,2
DecisionTree,ETHNICITY,1,1,1,1,1,1,0,6,1
DecisionTree,AGE_GROUP,0,0,0,0,1,0,0,1,6
CatBoost,RACE,0,0,1,1,1,1,0,4,3
CatBoost,SEX,0,0,1,1,1,1,1,5,2
CatBoost,ETHNICITY,1,1,1,1,1,1,1,7,0
CatBoost,AGE_GROUP,0,0,0,0,1,1,0,2,5
DNN (PyTorch),RACE,0,0,0,0,1,1,0,2,5
DNN (PyTorch),SEX,0,0,1,1,1,1,1,5,2
DNN (PyTorch),ETHNICITY,1,1,1,1,1,1,1,7,0
DNN (PyTorch),AGE_GROUP,0,0,0,0,1,1,0,2,5
Stacking Ensemble,RACE,0,0,1,1,1,1,0,4,3
Stacking Ensemble,SEX,0,0,1,1,1,1,0,4,3
Stacking Ensemble,ETHNICITY,1,1,1,1,1,1,0,6,1
Stacking Ensemble,AGE_GROUP,0,0,0,0,1,1,0,2,5
LGB-XGB Blend,RACE,0,0,1,1,1,1,0,4,3
LGB-XGB Blend,SEX,0,0,1,1,1,1,1,5,2
LGB-XGB Blend,ETHNICITY,1,1,1,1,1,1,1,7,0
LGB-XGB Blend,AGE_GROUP,0,0,0,0,1,1,0,2,5
