Attribute,Metric,Min_N
RACE,DI,"185,026"
RACE,SPD,"185,026"
RACE,EOPP,"185,026"
RACE,EOD,"185,026"
RACE,TI,"185,026"
RACE,PP,"185,026"
RACE,CAL,"185,026"
SEX,DI,"5,000"
SEX,SPD,"10,000"
SEX,EOPP,"185,026"
SEX,EOD,"100,000"
SEX,TI,"185,026"
SEX,PP,"185,026"
SEX,CAL,"185,026"
ETHNICITY,DI,"5,000"
ETHNICITY,SPD,"100,000"
ETHNICITY,EOPP,"185,026"
ETHNICITY,EOD,"185,026"
ETHNICITY,TI,"185,026"
ETHNICITY,PP,"185,026"
ETHNICITY,CAL,"185,026"
AGE_GROUP,DI,"5,000"
AGE_GROUP,SPD,"5,000"
AGE_GROUP,EOPP,"50,000"
AGE_GROUP,EOD,"25,000"
AGE_GROUP,TI,"185,026"
AGE_GROUP,PP,"185,026"
AGE_GROUP,CAL,"185,026"
