Metric,Attribute,Mean,SD,Min,Max,Range,CV%
DI,RACE,0.6504453913089879,0.035403467251880524,0.5985668231466946,0.7349620215669543,0.1363951984202597,5.4429576602323015
DI,ETHNICITY,0.8287194614177794,0.004506315393013081,0.8179912549975351,0.8362217213872242,0.01823046638968906,0.5437685010200729
DI,SEX,0.7625856855054187,0.0038942044358483904,0.753915986323578,0.7686803672830176,0.01476438095943955,0.5106579509511026
DI,AGE_GROUP,0.25348775878827945,0.0029497534731549218,0.2468231350142265,0.2584078277579733,0.011584692743746766,1.1636670296251441
WTPR,RACE,0.8261550105779971,0.020191685184127162,0.7768595041322314,0.8437334743521946,0.06687397021996322,2.4440552832815956
WTPR,ETHNICITY,0.8385698113881401,0.001765052257934499,0.8353373745403955,0.8411384739604361,0.00580109942004059,0.21048363940179188
WTPR,SEX,0.8412699981758381,0.0013967945313513267,0.8386225803771704,0.8433794876046762,0.004756907227505769,0.1660340359670565
WTPR,AGE_GROUP,0.7303698852730255,0.004625935147065276,0.720559930008749,0.7374075378654456,0.01684760785669659,0.6333688231595169
SPD,RACE,0.17783257841958625,0.017961700452875803,0.13443026576882955,0.20606786872599986,0.07163760295717031,10.100343037537336
SPD,ETHNICITY,0.07922613055909236,0.002167116685270852,0.07562978836108225,0.08442366183363625,0.008793873472554004,2.7353559614456566
SPD,SEX,0.12319759542439909,0.0023303579366435174,0.11965018663580551,0.12855664667855105,0.008906460042745534,1.891561218070652
SPD,AGE_GROUP,0.5791436566713988,0.007589008238131363,0.5622794041178605,0.5930702125256583,0.0307908084077978,1.3103844185653064
EOD,RACE,0.04165488644450953,0.02153274307220275,0.013952476061028563,0.09629683805065947,0.08234436198963091,51.6931983499404
EOD,ETHNICITY,0.02157454144439085,0.0018959929674318102,0.019231776527949718,0.0256659954602404,0.006434218932290681,8.788103201724123
EOD,SEX,0.03225740834303687,0.002185192994455132,0.02855024556369601,0.03620994225766572,0.007659696693969709,6.774236080025414
EOD,AGE_GROUP,0.2060991404338231,0.0059302127830027146,0.19399049686579029,0.2148034478255192,0.020812950959728904,2.877359299277069
PPV_Ratio,RACE,0.9184434131854078,0.03165318046231123,0.8626286662373244,0.9668004177430879,0.10417175150576352,3.4463941934680027
PPV_Ratio,ETHNICITY,0.9968481798437823,0.0021404207049249982,0.9928856057837978,0.9999383434432261,0.007052737659428265,0.21471882561499256
PPV_Ratio,SEX,0.9961939293917716,0.001983454626075344,0.9924982181143089,0.999935474810165,0.007437256695856043,0.19910326368745754
PPV_Ratio,AGE_GROUP,0.9228542062855476,0.0061599462650850645,0.9064883753876183,0.9345961002785516,0.028107724890933272,0.6674885613707727
