Test_Num,Subset_Size,Repeat,Accuracy,AUC,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
1,1000,1,0.891,0.9619019998692895,0.5483870967741935,0.6819262038774234,0.7889120569115663,0.5503462012709855
2,1000,2,0.911,0.9686515035352244,0.0,0.7855068032410946,0.8565285465411163,0.5723192019950125
3,1000,3,0.88,0.9568017863277224,0.5825641025641025,0.7547640791476408,0.8393415413298773,0.590363086380127
4,2000,1,0.876,0.9502251274845708,0.0,0.7468051118210863,0.9098549987842887,0.5341181330028913
5,2000,2,0.8915,0.9593386234562474,0.5830848468419626,0.7132605036778455,0.7547072810230704,0.5568069861173309
6,2000,3,0.8855,0.9552142369625116,0.7906976744186046,0.7230333011583011,0.8369825845532559,0.519806416920595
7,5000,1,0.891,0.9580514481628517,0.38095238095238093,0.7546070471968994,0.8267671888781553,0.546876612330217
8,5000,2,0.8818,0.9556362523898595,0.6267092651757189,0.7439275669560254,0.8379524032703224,0.5710320702392323
9,10000,1,0.8832,0.9552054230483517,0.6926910299003323,0.7447312505868954,0.8133399372918172,0.5698852640886191
10,10000,2,0.8817,0.9540803984832706,0.5667651403249631,0.7613969295675612,0.8294083041648023,0.5662646669278266
11,20000,1,0.8801,0.9554599153140437,0.49226203891518294,0.7674793846330968,0.8347431740839315,0.5733813173801957
12,20000,2,0.87995,0.9536427873172907,0.5580469735182849,0.7454035758285165,0.8282884357203231,0.5553301461280767
13,50000,1,0.87832,0.9546670635526153,0.7026164275078046,0.7747543461829175,0.8144771191260433,0.5608450038814747
14,50000,2,0.88126,0.9545191992917882,0.6980383895711222,0.7627226254462371,0.8126179618940329,0.5519385958689798
15,100000,1,0.87788,0.9531074296036008,0.6712103699399525,0.7603192880367458,0.8291582828035483,0.5612089258158265
16,100000,2,0.87799,0.953092944994762,0.6001634265091417,0.7613067961535284,0.8304664936770235,0.5626006392962112
17,150000,1,0.8790866666666667,0.9537227073201454,0.6668968951518883,0.7615556008644425,0.826530404747514,0.56143129616623
18,150000,2,0.8786133333333334,0.9536780159591481,0.6700567819272477,0.7596804575908523,0.8271574820814857,0.5595134497118612
19,185026,1,0.8786332731616098,0.9535995268687688,0.6458224429968673,0.7608635579372484,0.8268770246636917,0.5597706366478086
20,185026,2,0.8786332731616098,0.9535995268687688,0.6458224429968673,0.7608635579372484,0.8268770246636917,0.5597706366478086
