Attribute,Metric,P1_VFR,P1_MaxModel,P1_Margin,P2_MinN,P3_CV,P3_PctFair,Seed_VFR,Seed_Margin
RACE,DI,0.0333,Random Forest,1.8,"185,026",0.2818078956954853,0.0,0.0,28.65517571611335
RACE,SPD,0.0333,AdaBoost,1.7,"185,026",0.4175045201404769,0.0,0.0,28.075141664298005
RACE,EOPP,0.1,Random Forest,1.2,"185,026",0.6474280832745906,25.0,0.0,7.228693374683686
RACE,EOD,0.0,Logistic Regression,1.8,"185,026",0.5287898244998105,10.0,0.0,7.228693374683686
RACE,TI,0.0333,Logistic Regression,3.0,"185,026",0.6032820049953225,95.0,0.0,468.60516091836706
RACE,PP,0.0333,Random Forest,0.9,"185,026",0.5050253995848926,30.0,0.06666666666666667,1.4342613357707679
RACE,CAL,0.0,Logistic Regression,2.7,"185,026",0.29998334258547754,0.0,0.0,2.8927022767965025
SEX,DI,0.2667,Random Forest,0.6,"5,000",0.1243266221724518,35.0,0.0,80.12241990795019
SEX,SPD,0.2667,Random Forest,0.7,"10,000",0.38780780611133453,30.0,0.0,89.56828099097096
SEX,EOPP,0.4667,Logistic Regression,0.0,"185,026",0.5474560596639311,90.0,0.0,93.10020556695622
SEX,EOD,0.4333,AdaBoost,0.2,"100,000",0.3654944282367091,85.0,0.0,133.89245229453044
SEX,TI,0.0,Logistic Regression,7.9,"185,026",0.7062840021104978,100.0,0.0,1680.366203788791
SEX,PP,0.0333,Logistic Regression,2.0,"185,026",1.12477956034782,100.0,0.0,283.96795108966427
SEX,CAL,0.0,Logistic Regression,3.2,"185,026",0.38698503729085465,5.0,0.0,2.984899484792104
ETHNICITY,DI,0.5,CatBoost,0.1,"5,000",0.12264833906033946,55.00000000000001,0.0,22.775222921100056
ETHNICITY,SPD,0.5,CatBoost,0.2,"100,000",0.5807797414619398,55.00000000000001,0.0,41.394874826324916
ETHNICITY,EOPP,0.3333,Logistic Regression,0.2,"185,026",0.7561503146068644,95.0,0.0,98.25786004502184
ETHNICITY,EOD,0.4667,Logistic Regression,0.2,"185,026",0.4913816888208232,90.0,0.0,155.14994647472545
ETHNICITY,TI,0.0,Logistic Regression,7.2,"185,026",0.8703050874784032,100.0,0.0,1484.7304038351397
ETHNICITY,PP,0.1333,Logistic Regression,1.2,"185,026",0.9769460847753467,95.0,0.0,173.70973143011977
ETHNICITY,CAL,0.0,Logistic Regression,2.9,"185,026",0.42394738525351877,5.0,0.0,6.6273981657424255
AGE_GROUP,DI,0.0,Logistic Regression,7.3,"5,000",0.15964609074024275,0.0,0.0,487.05859725318237
AGE_GROUP,SPD,0.0,Logistic Regression,6.1,"5,000",0.16197917257404995,0.0,0.0,371.86012626506846
AGE_GROUP,EOPP,0.5,LightGBM,0.2,"50,000",0.37036380706913447,35.0,0.0,27.745048582660164
AGE_GROUP,EOD,0.2333,LightGBM,0.9,"25,000",0.21580052700559285,5.0,0.0,38.13928434259933
AGE_GROUP,TI,0.0,Logistic Regression,7.9,"185,026",0.5444676685344021,100.0,0.0,1350.8671625397612
AGE_GROUP,PP,0.3,Logistic Regression,0.6,"185,026",0.49648367024315504,85.0,0.0,134.6812894594044
AGE_GROUP,CAL,0.0,Logistic Regression,2.8,"185,026",0.4514739688866519,5.0,0.0,5.781496134853367
