Attribute,Metric,Best_Model,AFCE,Improvement
RACE,Disparate_Impact,0.6432150938915209,0.9505809446920623,0.30736585080054146
RACE,SPD,0.1807416477427911,0.02221666325654542,-0.1585249844862457
RACE,EOD,0.041106778413803946,0.17785156586444462,0.13674478745064067
RACE,Equalized_Odds,0.041106778413803946,0.17785156586444462,0.13674478745064067
RACE,PPV_Ratio,0.9185472147780427,0.728174517624232,-0.19037269715381067
RACE,WTPR,0.9941148477352687,0.974133729973317,-0.01998111776195166
RACE,Calibration_Diff,0.054070779109379186,0.18731163440967835,0.13324085530029917
RACE,Treatment_Equality,0.7516430300933933,0.02871691695013689,-0.7229261131432564
SEX,Disparate_Impact,0.7606201768696805,0.9520691313540735,0.19144895448439292
SEX,SPD,0.1244437811312527,0.02135425344739894,-0.10308952768385377
SEX,EOD,0.033405816436869906,0.07840365794758175,0.044997841510711845
SEX,Equalized_Odds,0.051580254586469185,0.07840365794758175,0.026823403361112566
SEX,PPV_Ratio,0.9992272025444151,0.9126297209410239,-0.0865974816033912
SEX,WTPR,0.9844838785900568,0.9635835670115318,-0.02090031157852501
SEX,Calibration_Diff,0.0003832194399088218,0.04989685053904802,0.0495136310991392
SEX,Treatment_Equality,0.7647588015827426,0.26381991903895635,-0.5009388825437862
ETHNICITY,Disparate_Impact,0.8262382436698908,0.9504721575635702,0.12423391389367933
ETHNICITY,SPD,0.08046724420619272,0.021690180966972283,-0.05877706323922044
ETHNICITY,EOD,0.021679502867151368,0.04321400394894881,0.02153450108179744
ETHNICITY,Equalized_Odds,0.030392591796354895,0.04321400394894881,0.012821412152593914
ETHNICITY,PPV_Ratio,0.9996359732317972,0.9389663755089713,-0.060669597722825874
ETHNICITY,WTPR,0.9913773031542018,0.9828122785919826,-0.008565024562219192
ETHNICITY,Calibration_Diff,0.00024236680876488226,0.0396610512778337,0.03941868446906882
ETHNICITY,Treatment_Equality,0.8416139584945821,0.4623769330354193,-0.37923702545916277
AGE_GROUP,Disparate_Impact,0.5598299029936685,0.5542014439252793,-0.005628459068389269
AGE_GROUP,SPD,0.3001488106774574,0.2998409872504755,-0.00030782342698193466
AGE_GROUP,EOD,0.09045004459799699,0.10059406706551877,0.010144022467521774
AGE_GROUP,Equalized_Odds,0.1253718635557114,0.12523429036790656,-0.0001375731878048292
AGE_GROUP,PPV_Ratio,0.9636176575113641,0.9595700674921579,-0.004047590019206182
AGE_GROUP,WTPR,0.971318196526687,0.9681015164229297,-0.003216680103757308
AGE_GROUP,Calibration_Diff,0.02263157368534252,0.025012989421147158,0.0023814157358046373
AGE_GROUP,Treatment_Equality,0.5804950863685582,0.6050361455456155,0.02454105917705729
