Intersection,Group,N,Selection Rate,TPR,F1
RACE x SEX,Asian/PI x Female,12086,0.5341717689889128,0.8676763041150375,0.8730855075810051
RACE x SEX,Asian/PI x Male,25015,0.32108734759144514,0.8209078080903104,0.8443396226415094
RACE x SEX,Black x Female,7641,0.596780526109148,0.8901266928789865,0.8918800612825564
RACE x SEX,Black x Male,15520,0.4654639175257732,0.8522893165228932,0.8702486618334575
RACE x SEX,Hispanic x Female,46860,0.5040759709773794,0.8741327203847955,0.8717578639045719
RACE x SEX,Hispanic x Male,73901,0.4087766065411835,0.8440361078094382,0.8566956861977894
RACE x SEX,Other/Unknown x Female,268,0.43283582089552236,0.8468468468468469,0.8281938325991189
RACE x SEX,Other/Unknown x Male,444,0.25675675675675674,0.8,0.8205128205128205
RACE x SEX,White x Female,998,0.5410821643286573,0.8939393939393939,0.8838951310861424
RACE x SEX,White x Male,2293,0.3379851722634104,0.8298397040690506,0.8486759142496847
RACE x AGE_GROUP,Asian/PI x Elderly (65+),11969,0.6215222658534547,0.8932683191114723,0.8898934017001754
RACE x AGE_GROUP,Asian/PI x Middle-aged (45-64),8608,0.42797397769516726,0.8213642213642214,0.8431761130928789
RACE x AGE_GROUP,Asian/PI x Pediatric (0-17),1533,0.3731245923026745,0.8322475570032574,0.8617200674536256
RACE x AGE_GROUP,Asian/PI x Unknown,480,0.8041666666666667,0.9592391304347826,0.9363395225464191
RACE x AGE_GROUP,Asian/PI x Young Adult (18-44),14511,0.16587416442698644,0.7176639197420279,0.770681031165833
RACE x AGE_GROUP,Black x Elderly (65+),7650,0.6934640522875817,0.9104280595889119,0.9102564102564102
RACE x AGE_GROUP,Black x Middle-aged (45-64),7321,0.5130446660292309,0.8460947503201024,0.862550580864117
RACE x AGE_GROUP,Black x Pediatric (0-17),1006,0.38966202783300197,0.8746928746928747,0.8911138923654568
RACE x AGE_GROUP,Black x Unknown,407,0.7641277641277642,0.9082278481012658,0.9154704944178629
RACE x AGE_GROUP,Black x Young Adult (18-44),6777,0.29806699129408293,0.7891842346471127,0.8196097096620657
RACE x AGE_GROUP,Hispanic x Elderly (65+),54733,0.5925492847094075,0.8950239864547079,0.8875242907112321
RACE x AGE_GROUP,Hispanic x Middle-aged (45-64),29953,0.4023303174974126,0.8183849345675072,0.8343977545458243
RACE x AGE_GROUP,Hispanic x Pediatric (0-17),4854,0.38833951380304904,0.8668714797747056,0.8822303282959875
RACE x AGE_GROUP,Hispanic x Unknown,2738,0.7739225712198685,0.9390485629335976,0.9161227942953831
RACE x AGE_GROUP,Hispanic x Young Adult (18-44),28483,0.18758557736193518,0.710086733054931,0.7642838620451206
RACE x AGE_GROUP,Other/Unknown x Pediatric (0-17),215,0.3488372093023256,0.7625,0.7870967741935484
RACE x AGE_GROUP,Other/Unknown x Young Adult (18-44),251,0.12749003984063745,0.7027027027027027,0.7536231884057971
RACE x AGE_GROUP,White x Elderly (65+),1101,0.6548592188919165,0.9070422535211268,0.9000698812019566
RACE x AGE_GROUP,White x Middle-aged (45-64),755,0.4357615894039735,0.8719512195121951,0.8706240487062404
RACE x AGE_GROUP,White x Young Adult (18-44),1260,0.15396825396825398,0.6637554585152838,0.7186761229314421
SEX x AGE_GROUP,Female x Elderly (65+),34536,0.582088255733148,0.8982148290901714,0.8895306496572161
SEX x AGE_GROUP,Female x Middle-aged (45-64),20219,0.46940996092784015,0.8436819736705712,0.8505590970843349
SEX x AGE_GROUP,Female x Pediatric (0-17),4168,0.3771593090211132,0.8658008658008658,0.8780181875195986
SEX x AGE_GROUP,Female x Unknown,1040,0.7653846153846153,0.9317889317889317,0.9205340114431023
SEX x AGE_GROUP,Female x Young Adult (18-44),7890,0.42217997465145757,0.8242545871559633,0.8432321454758762
SEX x AGE_GROUP,Male x Elderly (65+),41064,0.6301139684395091,0.8956213202323858,0.891657932533675
SEX x AGE_GROUP,Male x Middle-aged (45-64),26514,0.39107641246134117,0.8089500860585198,0.8342675635276532
SEX x AGE_GROUP,Male x Pediatric (0-17),3555,0.38677918424753865,0.8476775956284153,0.874251497005988
SEX x AGE_GROUP,Male x Unknown,2648,0.7817220543806647,0.9411764705882353,0.9183572488866898
SEX x AGE_GROUP,Male x Young Adult (18-44),43392,0.1535997418879056,0.6830888805315282,0.7442972271547603
